nohup: ignoring input
{'coins': 453680, 'danmakus': 283047, 'follow': 4270972, 'series_follow': 4504962, 'views': 16807179}
{'coins': 454091, 'danmakus': 283299, 'follow': 4271034, 'series_follow': 4505085, 'views': 16825791}
{'coins': 455175, 'danmakus': 283902, 'follow': 4271237, 'series_follow': 4505384, 'views': 16868753}
{'coins': 456861, 'danmakus': 284841, 'follow': 4271550, 'series_follow': 4505876, 'views': 16940100}
{'coins': 458793, 'danmakus': 286307, 'follow': 4271978, 'series_follow': 4506527, 'views': 17030126}
{'coins': 460869, 'danmakus': 287839, 'follow': 4272593, 'series_follow': 4507481, 'views': 17137064}
{'coins': 462983, 'danmakus': 289520, 'follow': 4273436, 'series_follow': 4508682, 'views': 17252530}
{'coins': 465246, 'danmakus': 291250, 'follow': 4274249, 'series_follow': 4509850, 'views': 17362957}
{'coins': 467508, 'danmakus': 292724, 'follow': 4275026, 'series_follow': 4510982, 'views': 17450598}
{'coins': 469592, 'danmakus': 293890, 'follow': 4275802, 'series_follow': 4512116, 'views': 17526495}
{'coins': 471473, 'danmakus': 294950, 'follow': 4276535, 'series_follow': 4513198, 'views': 17597550}
{'coins': 473143, 'danmakus': 295896, 'follow': 4277402, 'series_follow': 4514422, 'views': 17670140}
{'coins': 475031, 'danmakus': 296933, 'follow': 4278432, 'series_follow': 4515916, 'views': 17752179}
{'coins': 476981, 'danmakus': 298089, 'follow': 4279550, 'series_follow': 4517555, 'views': 17834337}
{'coins': 478674, 'danmakus': 299043, 'follow': 4280574, 'series_follow': 4519000, 'views': 17905131}
{'coins': 480215, 'danmakus': 299975, 'follow': 4281691, 'series_follow': 4520564, 'views': 17972440}
{'coins': 481844, 'danmakus': 300988, 'follow': 4282781, 'series_follow': 4522199, 'views': 18042760}
{'coins': 483397, 'danmakus': 301949, 'follow': 4284021, 'series_follow': 4523951, 'views': 18112435}
{'coins': 484769, 'danmakus': 302855, 'follow': 4285111, 'series_follow': 4525493, 'views': 18171902}
{'coins': 485707, 'danmakus': 303355, 'follow': 4285914, 'series_follow': 4526641, 'views': 18214645}
{'coins': 486278, 'danmakus': 303659, 'follow': 4286464, 'series_follow': 4527402, 'views': 18241618}
{'coins': 486627, 'danmakus': 303855, 'follow': 4286741, 'series_follow': 4527808, 'views': 18257133}
{'coins': 486815, 'danmakus': 303948, 'follow': 4286919, 'series_follow': 4528069, 'views': 18266169}
{'coins': 486942, 'danmakus': 304005, 'follow': 4287066, 'series_follow': 4528275, 'views': 18272365}
{'coins': 487017, 'danmakus': 304017, 'follow': 4287172, 'series_follow': 4528422, 'views': 18277246}
{'coins': 487122, 'danmakus': 304057, 'follow': 4287277, 'series_follow': 4528581, 'views': 18283372}
{'coins': 487332, 'danmakus': 304141, 'follow': 4287461, 'series_follow': 4528824, 'views': 18295835}
{'coins': 487747, 'danmakus': 304323, 'follow': 4287873, 'series_follow': 4529386, 'views': 18317618}
{'coins': 488422, 'danmakus': 304586, 'follow': 4288465, 'series_follow': 4530213, 'views': 18350600}
{'coins': 489164, 'danmakus': 304978, 'follow': 4289243, 'series_follow': 4531289, 'views': 18390420}
{'coins': 489909, 'danmakus': 305428, 'follow': 4290060, 'series_follow': 4532443, 'views': 18434969}
{'coins': 490783, 'danmakus': 305972, 'follow': 4290870, 'series_follow': 4533661, 'views': 18482213}
{'coins': 491637, 'danmakus': 306470, 'follow': 4291752, 'series_follow': 4534865, 'views': 18526489}
{'coins': 492337, 'danmakus': 306948, 'follow': 4292528, 'series_follow': 4536046, 'views': 18566977}
{'coins': 492996, 'danmakus': 307423, 'follow': 4293312, 'series_follow': 4537188, 'views': 18606665}
{'coins': 493712, 'danmakus': 307802, 'follow': 4294216, 'series_follow': 4538503, 'views': 18649123}
{'coins': 494400, 'danmakus': 308275, 'follow': 4295123, 'series_follow': 4539809, 'views': 18693656}
{'coins': 495006, 'danmakus': 308640, 'follow': 4295878, 'series_follow': 4541059, 'views': 18732361}
{'coins': 495660, 'danmakus': 309007, 'follow': 4296766, 'series_follow': 4542313, 'views': 18773906}
{'coins': 496294, 'danmakus': 309409, 'follow': 4297558, 'series_follow': 4543516, 'views': 18813155}
{'coins': 496999, 'danmakus': 309847, 'follow': 4298542, 'series_follow': 4544977, 'views': 18856286}
{'coins': 497735, 'danmakus': 310333, 'follow': 4299601, 'series_follow': 4546509, 'views': 18900709}
{'coins': 498409, 'danmakus': 310671, 'follow': 4300550, 'series_follow': 4547894, 'views': 18938819}
{'coins': 498852, 'danmakus': 310952, 'follow': 4301345, 'series_follow': 4548934, 'views': 18968436}
{'coins': 499159, 'danmakus': 311095, 'follow': 4301864, 'series_follow': 4549725, 'views': 18988251}
{'coins': 499347, 'danmakus': 311258, 'follow': 4302160, 'series_follow': 4550177, 'views': 19001081}
{'coins': 499463, 'danmakus': 311320, 'follow': 4302367, 'series_follow': 4550452, 'views': 19008633}
{'coins': 499519, 'danmakus': 311341, 'follow': 4302475, 'series_follow': 4550597, 'views': 19013380}
{'coins': 499559, 'danmakus': 311365, 'follow': 4302563, 'series_follow': 4550733, 'views': 19016823}
{'coins': 499623, 'danmakus': 311377, 'follow': 4302652, 'series_follow': 4550853, 'views': 19020634}
{'coins': 499716, 'danmakus': 311419, 'follow': 4302786, 'series_follow': 4551061, 'views': 19027964}
{'coins': 499894, 'danmakus': 311498, 'follow': 4303070, 'series_follow': 4551482, 'views': 19041225}
{'coins': 500176, 'danmakus': 311655, 'follow': 4303490, 'series_follow': 4552099, 'views': 19060806}
{'coins': 500555, 'danmakus': 311831, 'follow': 4304105, 'series_follow': 4552994, 'views': 19086534}
{'coins': 500978, 'danmakus': 312053, 'follow': 4304800, 'series_follow': 4554027, 'views': 19119371}
{'coins': 501476, 'danmakus': 312346, 'follow': 4305587, 'series_follow': 4555111, 'views': 19155095}
{'coins': 501961, 'danmakus': 312582, 'follow': 4306254, 'series_follow': 4556133, 'views': 19187617}
{'coins': 502463, 'danmakus': 312807, 'follow': 4306917, 'series_follow': 4557118, 'views': 19219013}
{'coins': 502897, 'danmakus': 313034, 'follow': 4307603, 'series_follow': 4558164, 'views': 19250139}
{'coins': 503334, 'danmakus': 313394, 'follow': 4308348, 'series_follow': 4559330, 'views': 19283717}
{'coins': 503831, 'danmakus': 313742, 'follow': 4309187, 'series_follow': 4560634, 'views': 19319544}
{'coins': 504272, 'danmakus': 314052, 'follow': 4309947, 'series_follow': 4561775, 'views': 19354459}
{'coins': 504698, 'danmakus': 314353, 'follow': 4310657, 'series_follow': 4562890, 'views': 19387327}
{'coins': 505109, 'danmakus': 314685, 'follow': 4311417, 'series_follow': 4564088, 'views': 19420740}
{'coins': 505561, 'danmakus': 315005, 'follow': 4312262, 'series_follow': 4565381, 'views': 19456301}
{'coins': 506045, 'danmakus': 315316, 'follow': 4313187, 'series_follow': 4566839, 'views': 19493248}
{'coins': 506474, 'danmakus': 315550, 'follow': 4314021, 'series_follow': 4568077, 'views': 19526608}
{'coins': 506800, 'danmakus': 315731, 'follow': 4314645, 'series_follow': 4569076, 'views': 19551376}
{'coins': 507011, 'danmakus': 315835, 'follow': 4315109, 'series_follow': 4569756, 'views': 19567625}
{'coins': 507147, 'danmakus': 315912, 'follow': 4315431, 'series_follow': 4570211, 'views': 19577971}
{'coins': 507223, 'danmakus': 315955, 'follow': 4315594, 'series_follow': 4570465, 'views': 19583957}
{'coins': 507264, 'danmakus': 315978, 'follow': 4315699, 'series_follow': 4570637, 'views': 19587717}
{'coins': 507303, 'danmakus': 316010, 'follow': 4315770, 'series_follow': 4570736, 'views': 19590496}
{'coins': 507338, 'danmakus': 316016, 'follow': 4315875, 'series_follow': 4570868, 'views': 19593611}
{'coins': 507424, 'danmakus': 316035, 'follow': 4316007, 'series_follow': 4571074, 'views': 19599593}
{'coins': 507565, 'danmakus': 316082, 'follow': 4316236, 'series_follow': 4571420, 'views': 19610335}
{'coins': 507750, 'danmakus': 316165, 'follow': 4316529, 'series_follow': 4571957, 'views': 19625102}
{'coins': 508012, 'danmakus': 316333, 'follow': 4317070, 'series_follow': 4572732, 'views': 19646026}
{'coins': 508346, 'danmakus': 316506, 'follow': 4317607, 'series_follow': 4573585, 'views': 19671109}
{'coins': 508688, 'danmakus': 316692, 'follow': 4318171, 'series_follow': 4574454, 'views': 19699133}
{'coins': 509042, 'danmakus': 316914, 'follow': 4318736, 'series_follow': 4575337, 'views': 19725169}
{'coins': 509329, 'danmakus': 317131, 'follow': 4319325, 'series_follow': 4576225, 'views': 19750582}
{'coins': 509635, 'danmakus': 317307, 'follow': 4319853, 'series_follow': 4577054, 'views': 19775156}
{'coins': 509949, 'danmakus': 317508, 'follow': 4320431, 'series_follow': 4578002, 'views': 19802029}
{'coins': 510266, 'danmakus': 317749, 'follow': 4321053, 'series_follow': 4578998, 'views': 19831260}
